id,cardnumber,name,team,position,series,manufacturer,year,set,tcdb,sortnumber
2021-Topps-MLS-155,155,Portland Timbers,Portland Timbers,Team,1,Topps,2021,MLS Base,,155
2021-Topps-MLS-156,156,Real Salt Lake,Real Salt Lake,Team,1,Topps,2021,MLS Base,,156
2021-Topps-MLS-157,157,San Jose Earthquakes,San Jose Earthquakes,Team,1,Topps,2021,MLS Base,,157
2021-Topps-MLS-158,158,Seattle Sounders FC,Seattle Sounders FC,Team,1,Topps,2021,MLS Base,,158
2021-Topps-MLS-159,159,Sporting Kansas City,Sporting Kansas City,Team,1,Topps,2021,MLS Base,,159
2021-Topps-MLS-160,160,Moses Nyeman,DC United,,1,Topps,2021,MLS Base,,160
2021-Topps-MLS-161,161,Tanner Tessmann,FC Dallas,,1,Topps,2021,MLS Base,,161
2021-Topps-MLS-162,162,Zachary Brault-Guillard,CLUB DE FOOT MONTRÉAL,,1,Topps,2021,MLS Base,,162
2021-Topps-MLS-163,163,Cristian Casseres,New York Red Bulls,,1,Topps,2021,MLS Base,,163
2021-Topps-MLS-164,164,Bryan Reynolds,FC Dallas,,1,Topps,2021,MLS Base,,164
2021-Topps-MLS-165,165,Efrain Alvarez,LA Galaxy,,1,Topps,2021,MLS Base,,165
2021-Topps-MLS-166,166,Jesus Ferreira,FC Dallas,,1,Topps,2021,MLS Base,,166
2021-Topps-MLS-167,167,Frankie Amaya,FC Cincinnati,,1,Topps,2021,MLS Base,,167
2021-Topps-MLS-168,168,George Bello,Atlanta United,,1,Topps,2021,MLS Base,,168
2021-Topps-MLS-169,169,Sam Vines,Colorado Rapids,,1,Topps,2021,MLS Base,,169
2021-Topps-MLS-170,170,Julian Araujo,LA Galaxy,,1,Topps,2021,MLS Base,,170
2021-Topps-MLS-171,171,Luis Binks,CLUB DE FOOT MONTRÉAL,,1,Topps,2021,MLS Base,,171
2021-Topps-MLS-172,172,Daryl Dike,Orlando City,,1,Topps,2021,MLS Base,,172
2021-Topps-MLS-173,173,Gianluca Busio,Sporting Kansas City,,1,Topps,2021,MLS Base,,173
2021-Topps-MLS-174,174,Ezequiel Barco,Atlanta United,,1,Topps,2021,MLS Base,,174
2021-Topps-MLS-175,175,Cole Bassett,Colorado Rapids,,1,Topps,2021,MLS Base,,175
2021-Topps-MLS-176,176,James Sands,New York City FC,,1,Topps,2021,MLS Base,,176
2021-Topps-MLS-177,177,Paxton Pomykal,FC Dallas,,1,Topps,2021,MLS Base,,177
2021-Topps-MLS-178,178,Ayo Akinola,Toronto FC,,1,Topps,2021,MLS Base,,178
2021-Topps-MLS-179,179,Caden Clark,New York Red Bulls,,1,Topps,2021,MLS Base,,179
2021-Topps-MLS-180,180,Brian Rodriguez,LAFC,,1,Topps,2021,MLS Base,,180
2021-Topps-MLS-181,181,Julian Carranza,Inter Miami CF,,1,Topps,2021,MLS Base,,181
2021-Topps-MLS-182,182,Jahkeele Marshall-Rutty,Toronto FC,,1,Topps,2021,MLS Base,,182
2021-Topps-MLS-183,183,Handwalla Bwana,Nashville SC,,1,Topps,2021,MLS Base,,183
2021-Topps-MLS-184,184,Cade Cowell,San Jose Earthquakes,,1,Topps,2021,MLS Base,,184
2021-Topps-MLS-185,185,Gabriel Slonina,Chicago Fire,,1,Topps,2021,MLS Base,,185
2021-Topps-MLS-186,186,John Tolkin,New York Red Bulls,,1,Topps,2021,MLS Base,,186
2021-Topps-MLS-187,187,Franko Kovačević,FC Cincinnati,,1,Topps,2021,MLS Base,,187
2021-Topps-MLS-188,188,Caden Clark,New York Red Bulls,,1,Topps,2021,MLS Base,,188
2021-Topps-MLS-189,189,Kwadwo Opoku,LAFC,,1,Topps,2021,MLS Base,,189
2021-Topps-MLS-190,190,Andrés Perea,Orlando City SC,,1,Topps,2021,MLS Base,,190
2021-Topps-MLS-191,191,George Campbell,Atlanta United,,1,Topps,2021,MLS Base,,191
2021-Topps-MLS-192,192,Bryce Duke,LAFC,,1,Topps,2021,MLS Base,,192
2021-Topps-MLS-193,193,Alvaro Barreal,FC Cincinnati,,1,Topps,2021,MLS Base,,193
2021-Topps-MLS-194,194,Carlos Terán,Chicago Fire,,1,Topps,2021,MLS Base,,194
2021-Topps-MLS-195,195,Diedie Traore,LA Galaxy,,1,Topps,2021,MLS Base,,195
2021-Topps-MLS-196,196,David Ochoa,Real Salt Lake,,1,Topps,2021,MLS Base,,196
2021-Topps-MLS-197,197,Dru Yearwood,New York Red Bulls,,1,Topps,2021,MLS Base,,197
2021-Topps-MLS-198,198,Dayne St. Clair,Minnesota United,,1,Topps,2021,MLS Base,,198
2021-Topps-MLS-199,199,Michael Halliday,Orlando City SC,,1,Topps,2021,MLS Base,,199
2021-Topps-MLS-200,200,Christian Torres,LAFC,,1,Topps,2021,MLS Base,,200
2021-Topps-MLS-JR-AA,JR-AA,Ali Adnan,Vancouver Whitecaps,,1,Topps,2021,Jumbo Relics,,1
2021-Topps-MLS-JR-AB,JR-AB,Andre Blake,Philadelphia Union,,1,Topps,2021,Jumbo Relics,,2
2021-Topps-MLS-JR-AL,JR-AL,Aaron Long,New York Red Bulls,,1,Topps,2021,Jumbo Relics,,3
2021-Topps-MLS-JR-AR,JR-AR,Andy Rios,San Jose Earthquakes,,1,Topps,2021,Jumbo Relics,,4
2021-Topps-MLS-JR-ARI,JR-ARI,Alexander Ring,New York City FC,,1,Topps,2021,Jumbo Relics,,5
2021-Topps-MLS-JR-AT,JR-AT,Anton Tinnerholm,New York City FC,,1,Topps,2021,Jumbo Relics,,6
2021-Topps-MLS-JR-BH,JR-BH,Bill Hamid,DC United,,1,Topps,2021,Jumbo Relics,,7
2021-Topps-MLS-JR-CBA,JR-CBA,Cole Bassett,Colorado Rapids,,1,Topps,2021,Jumbo Relics,,8
2021-Topps-MLS-JR-CM,JR-CM,Chris Mueller,Orlando City SC,,1,Topps,2021,Jumbo Relics,,9
2021-Topps-MLS-JR-CR,JR-CR,Cristian Roldan,Seattle Sounders,,1,Topps,2021,Jumbo Relics,,10
2021-Topps-MLS-JR-CV,JR-CV,Carlos Vela,LAFC,,1,Topps,2021,Jumbo Relics,,11
2021-Topps-MLS-JR-CW,JR-CW,Chris Wondolowski,San Jose Earthquakes,,1,Topps,2021,Jumbo Relics,,12
2021-Topps-MLS-JR-DC,JR-DC,Diego Chara,Portland Timbers,,1,Topps,2021,Jumbo Relics,,13
2021-Topps-MLS-JR-DF,JR-DF,Diego Fagundez,New England Revolution,,1,Topps,2021,Jumbo Relics,,14
2021-Topps-MLS-JR-DM,JR-DM,Dax McCarty,Nashville SC,,1,Topps,2021,Jumbo Relics,,15
2021-Topps-MLS-JR-DQ,JR-DQ,Darwin Quintero,Houston Dynamo,,1,Topps,2021,Jumbo Relics,,16
2021-Topps-MLS-JR-DR,JR-DR,Diego Rossi,LAFC,,1,Topps,2021,Jumbo Relics,,17
2021-Topps-MLS-JR-DRO,JR-DRO,Daniel Royer,New York Red Bulls,,1,Topps,2021,Jumbo Relics,,18
2021-Topps-MLS-JR-DS,JR-DS,Daniel Salloi,Sporting Kansas City,,1,Topps,2021,Jumbo Relics,,19
2021-Topps-MLS-JR-EA,JR-EA,Eduard Atuesta,LAFC,,1,Topps,2021,Jumbo Relics,,20
2021-Topps-MLS-JR-EB,JR-EB,Ezequiel Barco,Atlanta United,,1,Topps,2021,Jumbo Relics,,21
2021-Topps-MLS-JR-EF,JR-EF,Ethan Finlay,Minnesota United,,1,Topps,2021,Jumbo Relics,,22
2021-Topps-MLS-JR-EFL,JR-EFL,Edison Flores,DC United,,1,Topps,2021,Jumbo Relics,,23
2021-Topps-MLS-JR-FA,JR-FA,Frankie Amaya,FC Cincinnati,,1,Topps,2021,Jumbo Relics,,24
2021-Topps-MLS-JR-FP,JR-FP,Fafa Picault,FC Dallas,,1,Topps,2021,Jumbo Relics,,25
2021-Topps-MLS-JR-JA,JR-JA,Jozy Altidore,Toronto FC,,1,Topps,2021,Jumbo Relics,,26
2021-Topps-MLS-JR-JB,JR-JB,Jonathan Bornstein,Chicago Fire,,1,Topps,2021,Jumbo Relics,,27
2021-Topps-MLS-JR-JG,JR-JG,Julian Gressel,DC United,,1,Topps,2021,Jumbo Relics,,28
2021-Topps-MLS-JR-JL,JR-JL,Jurgen Locadia,FC Cincinnati,,1,Topps,2021,Jumbo Relics,,29
2021-Topps-MLS-JR-JM,JR-JM,Josef Martinez,Atlanta United,,1,Topps,2021,Jumbo Relics,,30
2021-Topps-MLS-JR-JMO,JR-JMO,Jamiro Monteiro,Philadelphia Union,,1,Topps,2021,Jumbo Relics,,31
2021-Topps-MLS-JR-JR,JR-JR,Johnny Russell,Sporting Kansas City,,1,Topps,2021,Jumbo Relics,,32
2021-Topps-MLS-JR-KA,JR-KA,Kellyn Acosta,Colorado Rapids,,1,Topps,2021,Jumbo Relics,,33
2021-Topps-MLS-JR-MB,JR-MB,Michael Barrios,FC Dallas,,1,Topps,2021,Jumbo Relics,,34
2021-Topps-MLS-JR-MBE,JR-MBE,Matt Besler,Sporting Kansas City,,1,Topps,2021,Jumbo Relics,,35
2021-Topps-MLS-JR-MBR,JR-MBR,Michael Bradley,Toronto FC,,1,Topps,2021,Jumbo Relics,,36
2021-Topps-MLS-JR-MH,JR-MH,Matt Hedges,FC Dallas,,1,Topps,2021,Jumbo Relics,,37
2021-Topps-MLS-JR-MM,JR-MM,Maximiliano Moralez,New York City FC,,1,Topps,2021,Jumbo Relics,,38
2021-Topps-MLS-JR-MP,JR-MP,Mauricio Pineda,Chicago Fire,,1,Topps,2021,Jumbo Relics,,39
2021-Topps-MLS-JR-MR,JR-MR,Miles Robinson,Atlanta United,,1,Topps,2021,Jumbo Relics,,40
2021-Topps-MLS-JR-MS,JR-MS,Marcelo Silva,Real Salt Lake,,1,Topps,2021,Jumbo Relics,,41
2021-Topps-MLS-JR-N,JR-N,Nani,Orlando City SC,,1,Topps,2021,Jumbo Relics,,42
2021-Topps-MLS-JR-PS,JR-PS,Pedro Santos,Columbus Crew,,1,Topps,2021,Jumbo Relics,,43
2021-Topps-MLS-JR-RH,JR-RH,Ryan Hollingshead,FC Dallas,,1,Topps,2021,Jumbo Relics,,44
2021-Topps-MLS-JR-RP,JR-RP,Rodolfo Pizarro,Inter Miami,,1,Topps,2021,Jumbo Relics,,45
2021-Topps-MLS-JR-RR,JR-RR,Raul Ruidiaz,Seattle Sounders,,1,Topps,2021,Jumbo Relics,,46
2021-Topps-MLS-JR-SB,JR-SB,Sebastian Blanco,Portland Timbers,,1,Topps,2021,Jumbo Relics,,47
2021-Topps-MLS-JR-WZ,JR-WZ,Walker Zimmerman,Nashville SC,,1,Topps,2021,Jumbo Relics,,48
2021-Topps-MLS-JR-ZV,JR-ZV,Zarek Valentin,Houston Dynamo,,1,Topps,2021,Jumbo Relics,,49
2021-Topps-MLS-NP-AB,NP-AB,Andre Blake,Philadelphia Union,,1,Topps,2021,Nameplate Patches,,1
2021-Topps-MLS-NP-CR,NP-CR,Cristian Roldan,Seattle Sounders,,1,Topps,2021,Nameplate Patches,,2
2021-Topps-MLS-NP-CV,NP-CV,Carlos Vela,LAFC,,1,Topps,2021,Nameplate Patches,,3
2021-Topps-MLS-NP-CW,NP-CW,Chris Wondolowski,San Jose Earthquakes,,1,Topps,2021,Nameplate Patches,,4
2021-Topps-MLS-NP-DC,NP-DC,Diego Chara,Portland Timbers,,1,Topps,2021,Nameplate Patches,,5
2021-Topps-MLS-NP-DF,NP-DF,Diego Fagundez,New England Revolution,,1,Topps,2021,Nameplate Patches,,6
2021-Topps-MLS-NP-DR,NP-DR,Diego Rossi,LAFC,,1,Topps,2021,Nameplate Patches,,7
2021-Topps-MLS-NP-DV,NP-DV,Diego Valeri,Portland Timbers,,1,Topps,2021,Nameplate Patches,,8
